Date,Total Value
2019-03-04,52465.324610710144
2019-03-05,52361.17834186554
2019-03-06,52021.532330513
2019-03-07,51725.09868955612
2019-03-08,51581.091125011444
2019-03-11,52195.76314163208
2019-03-12,52405.61124897003
2019-03-13,52750.41946840286
2019-03-14,52711.91426038742
2019-03-15,52940.07527446747
2019-03-18,53203.06919002533
2019-03-19,53145.33009815216
2019-03-20,52955.842420101166
2019-03-21,53566.829270362854
2019-03-22,52526.226499557495
2019-03-25,52664.58526277542
2019-03-26,53037.88177204132
2019-03-27,52871.127439022064
2019-03-28,53099.214935302734
2019-03-29,53483.59632110596
2019-04-01,54054.951192379
2019-04-02,54069.975863456726
2019-04-03,54237.809114933014
2019-04-04,54340.69070339203
2019-04-05,54668.05440282822
2019-04-08,54718.71674108505
2019-04-09,54362.759355545044
2019-04-10,54667.17537164688
2019-04-11,54801.44891643524
2019-04-12,55130.1695022583
2019-04-15,55112.38829755783
2019-04-16,54963.18676328659
2019-04-17,54541.426325798035
2019-04-18,54783.989740371704
2019-04-22,54915.179856300354
2019-04-23,55402.865624427795
2019-04-24,55400.03322315216
2019-04-25,55183.24135971069
2019-04-26,55461.07466316223
2019-04-29,55448.79092502594
2019-04-30,55700.788694381714
2019-05-01,55226.739137649536
2019-05-02,55417.82800769806
2019-05-03,55895.64013671875
2019-05-06,55753.76450920105
2019-05-07,54838.390902519226
2019-05-08,54777.68275928497
2019-05-09,54780.41207695007
2019-05-10,55032.71915435791
2019-05-13,53707.23278617859
2019-05-14,54225.69966506958
2019-05-15,54424.91249370575
2019-05-16,54922.24922990799
2019-05-17,54553.8502497673
2019-05-20,54158.72813129425
2019-05-21,54785.89344167709
2019-05-22,54618.493921756744
2019-05-23,53923.79517316818
2019-05-24,54121.76431560516
2019-05-28,53626.204548835754
2019-05-29,53304.596197128296
2019-05-30,53519.34327840805
2019-05-31,53032.66001749039
2019-06-03,53161.01279973984
2019-06-04,54330.594210624695
2019-06-05,54940.22464084625
2019-06-06,55222.673300266266
2019-06-07,55753.080609321594
2019-06-10,56016.02921104431
2019-06-11,55832.6110830307
2019-06-12,55874.161284446716
2019-06-13,56103.89037513733
2019-06-14,56014.82370853424
2019-06-17,55959.69053649902
2019-06-18,56466.399017333984
2019-06-19,56726.8364238739
2019-06-20,57212.49055290222
2019-06-21,56975.20919895172
2019-06-24,56811.8090171814
2019-06-25,56331.82534408569
2019-06-26,56050.880469322205
2019-06-27,56504.134613990784
2019-06-28,57023.67822647095
2019-07-01,57376.63328361511
2019-07-02,57531.502875328064
2019-07-03,58048.83334350586
2019-07-05,57903.72448825836
2019-07-08,57584.59738063812
2019-07-09,57647.91263103485
2019-07-10,57824.08365058899
2019-07-11,57983.63463306427
2019-07-12,58315.14631938934
2019-07-15,58247.691148757935
2019-07-16,58183.925992012024
2019-07-17,57851.29444980621
2019-07-18,58044.45740890503
2019-07-19,57719.35941410065
2019-07-22,57757.07579898834
2019-07-23,58020.31135845184
2019-07-24,58369.26105213165
2019-07-25,58028.138259887695
2019-07-26,58236.69341278076
2019-07-29,58085.38570308685
2019-07-30,58038.30871963501
2019-07-31,57563.81160354614
2019-08-01,57188.92447090149
2019-08-02,56763.84339618683
2019-08-05,55169.875126838684
2019-08-06,55992.8014087677
2019-08-07,56317.78692150116
2019-08-08,57490.09990596771
2019-08-09,57154.29741573334
2019-08-12,56484.67789268494
2019-08-13,57249.52072715759
2019-08-14,55659.182159900665
2019-08-15,55907.64304256439
2019-08-16,56667.80866909027
2019-08-19,57285.64965581894
2019-08-20,56953.26952075958
2019-08-21,57444.801688194275
2019-08-22,57435.84166145325
2019-08-23,56034.0250749588
2019-08-26,56578.01823759079
2019-08-27,56430.639362335205
2019-08-28,56784.770616054535
2019-08-29,57464.52149391174
2019-08-30,57392.271057128906
2019-09-03,57004.93471336365
2019-09-04,57602.50462722778
2019-09-05,58157.447600364685
2019-09-06,58274.6659412384
2019-09-09,58092.16997909546
2019-09-10,57909.21502304077
2019-09-11,58286.694816589355
2019-09-12,58395.31933879852
2019-09-13,58363.346239089966
2019-09-16,58298.87526226044
2019-09-17,58674.27219104767
2019-09-18,58701.14985084534
2019-09-19,58654.1377954483
2019-09-20,58422.11111545563
2019-09-23,58269.713819503784
2019-09-24,57808.397511959076
2019-09-25,58112.47137737274
2019-09-26,58047.27365207672
2019-09-27,57656.70002698898
2019-09-30,58080.84727859497
2019-10-01,57378.15690422058
2019-10-02,56390.550808906555
2019-10-03,56789.59956121445
2019-10-04,57590.91193532944
2019-10-07,57276.71631002426
2019-10-08,56425.94742393494
2019-10-09,56899.7620472908
2019-10-10,57202.37213516235
2019-10-11,57771.51361274719
2019-10-14,57736.5114607811
2019-10-15,58242.14478111267
2019-10-16,58156.48851776123
2019-10-17,58459.49071550369
2019-10-18,58450.39057159424
2019-10-21,58616.62842273712
2019-10-22,58283.82024860382
2019-10-23,58367.45439815521
2019-10-24,58681.80217266083
2019-10-25,58810.67192697525
2019-10-28,58940.49100995064
2019-10-29,59043.92350101471
2019-10-30,59193.997441768646
2019-10-31,58903.348216056824
2019-11-01,59429.676619529724
2019-11-04,59214.60006093979
2019-11-05,59084.044971466064
2019-11-06,59261.04040956497
2019-11-07,59139.70092582703
2019-11-08,59271.50211381912
2019-11-11,59437.36729812622
2019-11-12,59532.85209417343
2019-11-13,59621.76228094101
2019-11-14,59856.372567653656
2019-11-15,60161.36630964279
2019-11-18,60259.90277147293
2019-11-19,60432.10077905655
2019-11-20,60308.729219436646
2019-11-21,60126.52977514267
2019-11-22,60256.02181625366
2019-11-25,60751.09453821182
2019-11-26,61057.693730831146
2019-11-27,61300.92462062836
2019-11-29,61021.79079914093
2019-12-02,60481.18788766861
2019-12-03,60126.507772922516
2019-12-04,60554.88405752182
2019-12-05,60701.53022146225
2019-12-06,61117.03385543823
2019-12-09,60881.45107078552
2019-12-10,60882.793707847595
2019-12-11,61091.92579841614
2019-12-12,61394.07937335968
2019-12-13,61468.920409202576
2019-12-16,61886.5822019577
2019-12-17,61819.727069854736
2019-12-18,61719.5131444931
2019-12-19,61975.016419410706
2019-12-20,62465.72266960144
2019-12-23,62385.20034980774
2019-12-24,62458.73892498016
2019-12-26,62603.08652973175
2019-12-27,62611.74390602112
2019-12-30,62337.57861804962
2019-12-31,62490.49591732025
2020-01-02,62783.74898433685
2020-01-03,62582.37536048889
2020-01-06,62632.84583759308
